date,open,high,low,close,volume
2015-03-24,36.2446,36.58,36.1488,36.2542,1347437
2015-03-25,36.3788,36.6183,35.66,35.8133,2130108
2015-03-26,35.775,36.0433,35.2287,35.43,852263
2015-03-27,35.3917,36.2638,35.3725,36.2446,1063218
2015-03-30,36.465,36.7621,36.0242,36.1775,1066002
2015-03-31,35.9379,36.1296,35.567,35.6887,1214967
2015-04-01,35.6504,36.005,34.9125,35.2096,885633
2015-04-02,35.1233,35.315,34.9892,35.1425,600214
2015-04-06,35.0371,35.5354,34.9978,35.3821,1007795
2015-04-07,35.4108,35.7304,35.2671,35.6312,799285
2015-04-08,35.6983,36.4938,35.6983,36.3692,760194
2015-04-09,36.3979,36.8196,36.2158,36.7717,852605
2015-04-10,36.8771,36.8771,36.257,36.8196,551009
2015-04-13,36.9058,37.0975,36.81,36.8675,555682
2015-04-14,36.8196,36.8196,36.1871,36.4458,504767
2015-04-15,36.5513,36.9538,36.005,36.8579,601040
2015-04-16,36.8292,36.925,36.35,36.5992,912881
2015-04-17,36.4075,36.4938,36.0865,36.2542,276098
2015-04-20,36.4554,36.8483,36.3308,36.7142,953775
2015-04-21,36.9154,37.1646,36.6183,37.1071,620775
2015-04-22,37.155,37.3659,36.7669,37.3083,476201
2015-04-23,37.3179,37.4329,36.7813,37.3946,715305
2015-04-24,37.5192,37.6821,37.1071,37.2508,547981
2015-04-27,37.2508,37.4233,36.925,37.1167,388719
2015-04-28,37.0304,37.3467,36.7333,37.1167,722996
2015-04-29,36.8196,37.0687,36.6183,36.9825,629398
2015-04-30,36.9346,37.2892,36.5033,36.7238,683046
2015-05-01,36.8483,37.0707,36.6088,37.0592,562411
2015-05-04,37.0688,37.431,37.0592,37.2029,761357
2015-05-05,37.155,37.3179,36.925,37.2508,802552
2015-05-06,37.1838,37.3582,36.7429,37.0304,1000145
2015-05-07,36.4171,36.8867,35.2862,35.43,2135017
2015-05-08,35.4875,36.235,35.1425,35.1712,1468811
2015-05-11,35.1042,35.3821,34.9796,35.1808,1370215
2015-05-12,35.0658,35.6025,34.9796,35.3917,831400
2015-05-13,35.4587,35.7846,35.2862,35.4492,1072111
2015-05-14,35.6792,35.8948,35.545,35.8133,682902
2015-05-15,35.9092,36.0625,35.5929,36.0146,891113
2015-05-18,36.0338,36.1641,35.66,35.9763,597463
2015-05-19,35.1712,35.5929,34.8933,35.2383,4584414
2015-05-20,35.2383,35.4204,35.1712,35.1904,1241365
2015-05-21,35.3224,35.7161,35.3032,35.62,1017783
2015-05-22,35.524,35.6681,35.3704,35.5528,398794
2015-05-26,35.4664,35.6777,34.9192,34.9672,1494714
2015-05-27,35.1208,35.4472,34.9,35.3992,1056187
2015-05-28,35.2936,35.5048,35.1976,35.476,1153291
2015-05-29,35.5144,35.7401,35.2936,35.62,2418952
2015-06-01,35.6969,35.7545,35.0824,35.524,1002049
2015-06-02,35.3992,35.6008,35.2841,35.4088,683191
2015-06-03,35.5048,35.6392,35.3032,35.4952,962652
2015-06-04,35.4088,35.4663,34.9192,35.0248,499729
2015-06-05,34.9672,35.1496,34.7271,35.1208,577904
2015-06-08,35.14,35.3224,34.7175,34.948,738847
2015-06-09,34.9096,35.1208,34.6455,35.1208,1178475
2015-06-10,35.1592,35.6969,35.1592,35.62,1112997
2015-06-11,35.7641,35.8985,35.3608,35.3992,710003
2015-06-12,35.2936,35.4472,35.2072,35.2552,295679
2015-06-15,35.2456,35.2456,34.7656,35.1304,786000
2015-06-16,34.996,35.1496,34.7319,34.9768,662799
2015-06-17,34.9768,35.3512,34.9768,35.2312,1306788
2015-06-18,35.2936,36.0089,35.1976,35.9465,1257021
2015-06-19,35.7545,35.7737,35.284,35.332,950134
2015-06-22,35.5048,35.6392,35.3224,35.4952,665563
2015-06-23,35.5432,35.7353,35.524,35.62,745634
2015-06-24,35.6104,35.6873,34.9672,35.0536,630976
2015-06-25,35.0632,35.3416,34.996,35.0152,743483
2015-06-26,34.9,35.0632,33.815,33.8919,4658643
2015-06-29,33.815,33.9111,33.191,33.2006,1226009
2015-06-30,33.4598,33.7958,32.8261,32.9125,893146
2015-07-01,33.239,33.4646,32.9797,33.2678,832329
2015-07-02,33.2294,33.4814,33.0182,33.0758,556214
2015-07-06,32.8069,33.3686,32.5189,32.7589,1296477
2015-07-07,32.8357,33.0278,32.058,33.0182,838294
2015-07-08,32.7301,32.7973,32.2981,32.4901,1039776
2015-07-09,32.7685,33.2293,32.2309,32.3941,1234335
2015-07-10,32.8357,33.0374,32.3749,32.5861,695037
2015-07-13,32.8837,33.0758,32.5477,33.0086,1062411
2015-07-14,32.9125,33.5846,32.8165,33.431,551243
2015-07-15,33.3542,33.5831,32.8645,32.9413,554650
2015-07-16,33.2774,33.2774,32.9701,33.0278,446884
2015-07-17,33.143,33.1748,32.7109,32.7877,240532
2015-07-20,32.8069,32.9311,32.4997,32.6341,502670
2015-07-21,32.4229,32.6437,32.2982,32.3845,723491
2015-07-22,32.1733,32.8741,32.0965,32.8357,1204760
2015-07-23,32.8837,33.191,32.6725,32.8645,788573
2015-07-24,32.7397,32.922,32.2213,32.2693,461236
2015-07-27,31.9908,32.1349,31.6932,31.9812,446641
2015-07-28,32.0484,33.2678,31.9044,33.1238,920742
2015-07-29,33.3062,33.671,32.8741,33.6518,724240
2015-07-30,33.9687,34.0743,33.3734,34.0263,1356342
2015-07-31,34.1991,34.5927,34.0071,34.4967,1310785
2015-08-03,36.1577,37.4443,36.1001,37.089,3072985
2015-08-04,37.4443,38.2699,36.8491,37.5403,1887900
2015-08-05,37.7803,38.3948,37.7803,38.1355,1673154
2015-08-06,38.1259,38.414,37.5211,37.7611,1611415
2015-08-07,37.7323,38.0106,37.2234,37.3578,1090337
2015-08-10,37.7035,37.9435,37.45,37.7227,1234610
2015-08-11,37.4251,37.8571,37.1034,37.8187,1020664
2015-08-12,37.5979,37.8235,37.2042,37.3482,785370
2015-08-13,36.7818,37.4347,36.6762,37.2714,4952253
2015-08-14,37.7035,37.7131,37.2138,37.6171,1495498
2015-08-17,37.4347,38.2219,37.4347,38.1451,1335834
2015-08-18,38.1835,38.2315,37.8667,37.8763,716936
2015-08-19,37.6843,38.0107,37.4635,37.8763,824308
2015-08-20,37.5019,37.8475,37.1082,37.1178,868074
2015-08-21,36.9808,37.654,36.7884,36.7884,1925532
2015-08-24,35.0764,36.9231,34.2541,35.9805,1790554
2015-08-25,37.2789,37.2789,36.0863,36.1152,1454341
2015-08-26,36.7211,38.1157,36.2979,37.9714,1837937
2015-08-27,38.2311,38.7408,37.8464,38.5677,1689164
2015-08-28,38.6543,38.6831,38.1638,38.4427,1151958
2015-08-31,38.3465,38.5485,38.1541,38.2311,1426667
2015-09-01,37.5001,37.8655,36.6441,36.9423,896756
2015-09-02,37.125,37.4617,36.7115,37.3078,1011407
2015-09-03,37.3174,37.9618,37.3174,37.7502,622843
2015-09-04,37.0962,37.4424,36.8269,37.2212,617565
2015-09-08,37.2212,38.7889,37.2212,38.7601,1313649
2015-09-09,39.3179,39.3371,38.7937,38.8563,1211141
2015-09-10,38.9332,39.3564,38.6158,39.1929,990977
2015-09-11,39.1448,39.5391,39.1063,39.5295,1055088
2015-09-14,39.5295,39.7603,39.2506,39.491,1037218
2015-09-15,39.7219,40.0008,39.3179,39.9719,978062
2015-09-16,40.1258,40.2797,39.895,40.222,812656
2015-09-17,40.2989,40.3855,39.6353,39.7026,782030
2015-09-18,39.2891,39.5006,39.1063,39.2698,1517950
2015-09-21,39.568,39.5967,38.7985,39.0101,829916
2015-09-22,38.6735,38.8274,38.4427,38.7889,748496
2015-09-23,38.8563,39.0582,38.6447,38.9236,791060
2015-09-24,38.5581,39.0582,38.4715,39.039,589130
2015-09-25,39.4429,39.6545,38.9236,39.2217,490713
2015-09-28,39.1448,39.1929,37.7839,37.8271,1039610
2015-09-29,37.9329,38.5677,37.6636,38.2984,1195708
2015-09-30,38.8466,39.3852,38.6447,39.2987,1264289
2015-10-01,39.1352,39.4718,38.962,39.4429,1071578
2015-10-02,38.6543,39.3179,38.539,39.039,1505933
2015-10-05,39.4045,40.4576,39.1449,40.1739,2091758
2015-10-06,40.222,40.3566,39.9431,40.2316,948360
2015-10-07,40.3951,41.0203,40.246,40.9722,1292487
2015-10-08,40.9818,41.328,40.7799,40.9337,891097
2015-10-09,41.1453,41.3088,40.8947,41.0972,676254
2015-10-12,41.3377,41.4146,40.8762,41.3954,478161
2015-10-13,42.261,42.3187,41.4531,41.7897,719716
2015-10-14,41.6839,42.0686,41.4002,41.6935,574423
2015-10-15,42.1937,42.1937,41.5685,41.9051,599712
2015-10-16,42.0494,42.3764,41.8089,42.2706,683233
